customer_id,full_name,email,email_domain,primary_phone,company,city,country,region,subscription_date,subscription_year,subscription_month,subscription_quarter,customer_tenure_years,customer_segment,website
dE014d010c7ab0c,Andrew Goodman,marieyates@gomez-spencer.info,gomez-spencer.info,84679046234715,Stewart-Flynn,Rowlandberg,Macao,Other,2021-07-26,2021,7,2021Q3,5,Loyal,http://www.shea.biz/
2B54172c8b65eC3,Alvin Lane,alexandra86@mccoy.com,mccoy.com,124597865205682,"Terry, Proctor and Lawrence",Bethside,Papua New Guinea,Other,2021-06-24,2021,6,2021Q2,5,Loyal,http://www.pena-cole.com/
d794Dd48988d2ac,Jenna Harding,justincurtis@pierce.org,pierce.org,33598730853780,Bailey Group,Moniquemouth,China,Other,2020-04-05,2020,4,2020Q2,6,Legacy,http://www.booth-reese.biz/
3b3Aa4aCc68f3Be,Fernando Ford,adeleon@hubbard.org,hubbard.org,0477523122,Moss-Maxwell,Leeborough,Macao,Other,2020-11-29,2020,11,2020Q4,6,Legacy,http://www.hebert.com/
D60df62ad2ae41E,Kara Woods,jesus90@roberson.info,roberson.info,1360693441919272,Mccarthy-Kelley,Port Jacksonland,Nepal,Other,2022-04-22,2022,4,2022Q2,4,Loyal,http://merritt.com/
8aaa5d0CE9ee311,Marissa Gamble,katieallison@leonard.com,leonard.com,00164533455140786,Cherry and Sons,Webertown,Sudan,Other,2021-11-17,2021,11,2021Q4,5,Loyal,http://www.kaufman.org/
73B22Ac8A43DD1A,Julie Cooley,priscilla88@stephens.info,stephens.info,167524374229177,"Yu, Norman and Sharp",West Sandra,Japan,Other,2022-03-26,2022,3,2022Q1,4,Loyal,http://www.sexton-chang.com/
DC94CCd993D311b,Lauren Villa,colehumphrey@austin-caldwell.com,austin-caldwell.com,0812261797647,"French, Travis and Hensley",New Yolanda,Fiji,Other,2020-08-14,2020,8,2020Q3,6,Legacy,https://www.kerr.com/
9Ba746Cb790FED9,Emily Bryant,buckyvonne@church-lutz.com,church-lutz.com,430401522835091,"Moon, Strickland and Combs",East Normanchester,Seychelles,Other,2020-12-30,2020,12,2020Q4,6,Legacy,http://grimes.com/
aAa1EDfaA70DA0c,Marie Estrada,christie44@mckenzie.biz,mckenzie.biz,0016487909244,May Inc,Welchton,United Arab Emirates,Other,2020-09-03,2020,9,2020Q3,6,Legacy,https://www.salinas.net/
bf104C25d0BA4E1,Nichole Cannon,blandry@henson-harris.biz,henson-harris.biz,0647787401,Rios and Sons,West Devon,Burundi,Other,2021-04-26,2021,4,2021Q2,5,Loyal,http://www.humphrey.org/
bf2fA37cbAd7dDc,Bernard Ritter,tammiepope@arroyo-baldwin.com,arroyo-baldwin.com,2923131902,Bradford and Sons,West Francisco,Palau,Other,2022-01-19,2022,1,2022Q1,4,Loyal,http://sellers.biz/
4fa8ffcdBbf53bB,Darryl Archer,woodalejandro@skinner-sloan.biz,skinner-sloan.biz,3894371716,Kerr-Cherry,Holtfurt,Uganda,Other,2022-04-18,2022,4,2022Q2,4,Loyal,https://www.daniels.com/
aBd960429ecd363,Ryan Li,lmassey@duke.com,duke.com,00111978701254500,"Hooper, Cross and Holt",Batesville,Liechtenstein,Other,2021-03-06,2021,3,2021Q1,5,Loyal,http://nunez.com/
2a0c691Ce19C6f3,Vicki Nunez,zgrant@sweeney.com,sweeney.com,2174740312,"Leonard, Galvan and Blackburn",Barbaraborough,Haiti,Other,2022-01-30,2022,1,2022Q1,4,Loyal,https://reynolds.com/
B58fecf82f997Dd,Sean Townsend,lkline@maxwell.info,maxwell.info,0015342835153,Preston-Sosa,Velasquezberg,Iran,Other,2020-05-30,2020,5,2020Q2,6,Legacy,http://www.vargas.biz/
41d0201DcF028b5,Sophia Mathis,brockmason@faulkner-may.com,faulkner-may.com,0018587627896916,Richard-Velasquez,Toddhaven,Switzerland,Other,2020-01-23,2020,1,2020Q1,6,Legacy,http://www.vaughn.com/
B1A1b09CD5C3b6a,Helen Potts,carrollmia@donovan-keith.com,donovan-keith.com,1408622659,"Rangel, Livingston and Patel",Douglasland,Seychelles,Other,2021-07-27,2021,7,2021Q3,5,Loyal,http://www.kennedy-edwards.biz/
ba5a73D210dCcE4,Joann Finley,gabriela86@sampson.com,sampson.com,9417158720950,Harvey PLC,Barrettshire,Montserrat,Other,2022-04-11,2022,4,2022Q2,4,Loyal,http://www.harrell.com/
F6cD561cecdfA6d,Thomas Walsh,timcoleman@frank-king.org,frank-king.org,6793260724,Best-Thomas,Roblesport,Kiribati,Other,2020-09-11,2020,9,2020Q3,6,Legacy,http://www.kane.com/
dEb9310eec04a8D,Cristina Lam,charlotte16@hood-zhang.org,hood-zhang.org,4292705811,Watts-Allison,West Jocelynfort,Korea,Other,2020-01-04,2020,1,2020Q1,6,Legacy,http://whitehead.net/
ed3894D6DE7F711,Vicki Heath,alan46@benjamin.com,benjamin.com,88931155806390,"Cherry, Schultz and Ruiz",Port Cameronbury,Bangladesh,Other,2020-11-06,2020,11,2020Q4,6,Legacy,https://www.bird.com/
EFeFaC727F12CDF,Glenn Wang,anna80@mata.com,mata.com,83410464248311,Warner-Hodge,West Rachael,Gabon,Other,2022-01-01,2022,1,2022Q1,4,Loyal,http://brooks-kerr.com/
c5CB6C5bFB91fdC,Darius Benitez,garrettdurham@olsen.com,olsen.com,1797864315125142,Giles LLC,Mejiashire,Jersey,Other,2022-02-28,2022,2,2022Q1,4,Loyal,https://washington.com/
C30B3E82E8D89cC,Xavier Cruz,andersongrant@pugh.com,pugh.com,019418862565148,Wiley Ltd,Mindyborough,Latvia,Other,2020-02-07,2020,2,2020Q1,6,Legacy,https://www.cohen.info/
3d7bE19696ea8Ff,Douglas Galloway,caleb11@velazquez.com,velazquez.com,12055282409137,Duffy Inc,Eileenbury,Mongolia,Other,2021-10-24,2021,10,2021Q4,5,Loyal,http://www.mcneil.net/
A093aA90fa014FE,Phyllis Becker,darrylshort@bright-tucker.com,bright-tucker.com,13215054969,Oneal and Sons,East Andre,Bouvet Island (Bouvetoya),Other,2020-07-02,2020,7,2020Q3,6,Legacy,https://www.farrell.com/
a470984c5dBfcC4,Ebony Murphy,vpowers@moyer.com,moyer.com,7724923142,Barry-Martinez,Atkinsfurt,Vanuatu,Other,2020-02-17,2020,2,2020Q1,6,Legacy,http://www.dorsey.com/
b1d4abfbCb67feE,Tyler Stevenson,mmayo@gilbert.com,gilbert.com,001239175851852340,Burns and Sons,North Joannashire,Sri Lanka,Other,2022-03-02,2022,3,2022Q1,4,Loyal,http://www.fry.org/
d667bCC84Ff45Bb,Cesar Bernard,damon31@grant-morrison.com,grant-morrison.com,1653663660432,Potter-Ho,Mccormickville,Iraq,Other,2021-09-04,2021,9,2021Q3,5,Loyal,https://bryan-walters.com/
Ccb07E00AFf32bA,Darrell Santos,hdaniels@mason.com,mason.com,0016048586371,Boone-Dawson,Lake Dwayne,Liechtenstein,Other,2021-11-04,2021,11,2021Q4,5,Loyal,http://hammond.com/
bd04F2A7BD4F730,Amanda Santiago,emmarasmussen@roman-walter.biz,roman-walter.biz,2188033440413,Roberts-Heath,Benjaminchester,United Arab Emirates,Other,2021-05-06,2021,5,2021Q2,5,Loyal,http://gillespie.com/
f1157011c5eDbEB,Marcus Mcdonald,cesar71@vang-wagner.com,vang-wagner.com,8282301201748,Hays-Howell,East Brad,Azerbaijan,Other,2020-06-25,2020,6,2020Q2,6,Legacy,https://www.williams-mclaughlin.org/
7c4c673af703a09,Lauren Montes,hodgebrenda@roach-winters.com,roach-winters.com,0019995857539536,Cohen-Copeland,Tonyville,Armenia,Other,2021-05-06,2021,5,2021Q2,5,Loyal,https://www.garcia.com/
E7D7e40Cf3A03a2,Brent Hinton,greg77@patel.biz,patel.biz,21007275390111,"Petersen, Blackburn and Meyers",Tommyland,Mexico,Other,2021-12-03,2021,12,2021Q4,5,Loyal,http://aguirre.biz/
B98BacEebC40DBb,Jill Mayo,brandypowers@christensen.com,christensen.com,116074736248230,"Woodard, Haas and Mason",Port Carlside,Cuba,Other,2020-10-04,2020,10,2020Q4,6,Legacy,http://briggs-johnston.com/
d1c0dFab10a8383,Herbert Byrd,gilloscar@webb.com,webb.com,969981127578285,Sheppard-Dougherty,Kimmouth,South Georgia and the South Sandwich Islands,Other,2020-02-09,2020,2,2020Q1,6,Legacy,https://www.rowland-lyons.com/
f21D2faCa0760A8,Don Krueger,trevor14@harvey.com,harvey.com,3773661889912,"Cortez, Hester and Villegas",Melendezland,Guinea,Other,2020-03-02,2020,3,2020Q1,6,Legacy,http://www.combs.com/
11F97CBDd2C8de9,Cheryl Gonzales,yvette30@haas-oneill.org,haas-oneill.org,9016149714,Walton-Drake,Pittmanmouth,Kenya,Other,2020-02-26,2020,2,2020Q1,6,Legacy,http://www.tran-juarez.net/
BEBA4fDAA6C4adC,Rickey Mays,cmcdowell@riley-wolf.org,riley-wolf.org,042976471426341,"Escobar, Carrillo and Sloan",Hollandshire,United States of America,Other,2020-01-01,2020,1,2020Q1,6,Legacy,http://www.nolan.com/
0F2E0b5850404A8,Cassidy Dillon,patrick43@stout.com,stout.com,0014332373081336,Coleman LLC,New Ebony,Liechtenstein,Other,2021-12-19,2021,12,2021Q4,5,Loyal,https://www.meyer.com/
6fF3de1DDbeAaE9,Christina Bautista,phenry@tate.biz,tate.biz,9646716776,Lane Ltd,Lake Don,Turks and Caicos Islands,Other,2020-11-01,2020,11,2020Q4,6,Legacy,https://warner.com/
bcE2C6eaAa1d53c,Alexandra Castro,swalters@harvey.biz,harvey.biz,1469312310801224,"Wall, Clay and Mcintosh",South Lynnton,Swaziland,Other,2021-04-11,2021,4,2021Q2,5,Loyal,http://www.vasquez-boyer.biz/
fb0eaBDA955AE79,Krystal Mendoza,mjackson@david.com,david.com,0011166617356,"Logan, Boyle and Villegas",West Henry,Panama,Other,2020-09-09,2020,9,2020Q3,6,Legacy,http://www.marks-ray.info/
1cE4BEcB6F2D2C3,Ivan Schroeder,qgeorge@singh.com,singh.com,5243919866,"Peck, Nicholson and Knox",Port Grace,Saint Pierre and Miquelon,Other,2020-08-16,2020,8,2020Q3,6,Legacy,https://melton-alexander.biz/
37a20bF88deF55D,Stephanie Bradshaw,debbie56@baker-olsen.com,baker-olsen.com,19342961820843,Tanner LLC,East Paulaville,American Samoa,Other,2022-03-05,2022,3,2022Q1,4,Loyal,http://jimenez.biz/
EE9381bAEbac1eA,Levi Grimes,robertmarks@willis.com,willis.com,13255276948,"Carpenter, Chang and Bass",Frederickfurt,Heard Island and McDonald Islands,Other,2021-06-12,2021,6,2021Q2,5,Loyal,https://cherry.com/
7008F9538b6e3e4,Peter Sosa,frederick02@gross.com,gross.com,983760941039862,Hensley and Sons,Donaldton,Sao Tome and Principe,Other,2021-07-17,2021,7,2021Q3,5,Loyal,http://www.chandler.info/
e6D85CcfDE7ABEd,Valerie Haney,yowens@erickson-charles.com,erickson-charles.com,00149449894328701,"Delgado, Rubio and Rose",Harryview,Cuba,Other,2020-03-22,2020,3,2020Q1,6,Legacy,https://www.fowler-alvarado.biz/
815D27672C2Ba6d,Tom Gardner,darin81@callahan.com,callahan.com,318356685556588,Werner-Bean,New Samuel,Barbados,Other,2022-01-04,2022,1,2022Q1,4,Loyal,http://yang-everett.com/
bc9e98FC8e31fB2,Randall Galloway,stuart07@reid.com,reid.com,7802498976,Brady Inc,Brightburgh,Isle of Man,Other,2020-12-18,2020,12,2020Q4,6,Legacy,https://hatfield-huff.biz/
06c9e9caEBf539F,Perry Whitaker,jennynorton@randall.org,randall.org,4490502967,Odom LLC,North Jocelynberg,Western Sahara,Other,2021-04-27,2021,4,2021Q2,5,Loyal,http://www.hall.com/
D02c86e781bA06f,Gloria Mosley,escobardeanna@sawyer-obrien.info,sawyer-obrien.info,296297817450153,Calderon Ltd,East Reneefurt,Fiji,Other,2022-05-06,2022,5,2022Q2,4,Loyal,https://www.huber.info/
846D8B34aba64a6,Cameron Little,stephen57@sellers.com,sellers.com,1172227474355703,Howell Group,North Angel,Netherlands,Other,2020-11-13,2020,11,2020Q4,6,Legacy,https://collins.org/
305B77b17f60849,Glen Gonzalez,jschmidt@gardner-maldonado.com,gardner-maldonado.com,4944940595,Zamora-Ellis,Lake Isabelberg,Sudan,Other,2020-07-21,2020,7,2020Q3,6,Legacy,http://holt-mendez.info/
610e5F3baCbd25c,Melvin Day,sheila46@ewing.org,ewing.org,001139178369723267,"Alvarez, Gaines and Sweeney",Jackbury,Reunion,Other,2021-12-22,2021,12,2021Q4,5,Loyal,http://becker-warner.net/
9F0EbC3b678ad6B,Kent Salinas,dustindelgado@west-khan.com,west-khan.com,75066175272590,"Shelton, Robinson and Smith",Nicolasfurt,Guatemala,Other,2020-02-21,2020,2,2020Q1,6,Legacy,https://www.mora-tapia.info/
82dDB5e20CAA2Ce,Stacey Martinez,mikayla38@lawson-dougherty.com,lawson-dougherty.com,0010704311693963,"Rasmussen, Bauer and Lyons",Mauriceview,Uzbekistan,Other,2020-03-22,2020,3,2020Q1,6,Legacy,https://newman-townsend.com/
b78002FEFF5a860,Jennifer Fleming,stoutalexandria@meza.com,meza.com,5349698263,Schaefer-Chambers,Shepherdfort,Barbados,Other,2020-11-24,2020,11,2020Q4,6,Legacy,http://marsh.com/
dFe34eAb8614AC0,Teresa Oconnell,hhahn@cantrell.net,cantrell.net,10456673608307,"Mayo, Buchanan and Owen",Lake Douglas,Turkmenistan,Other,2021-12-04,2021,12,2021Q4,5,Loyal,https://www.ellison-strickland.org/
aB3351247D3fCD8,Bruce Bass,gvang@woods.info,woods.info,17009454367579,"Day, Wiley and Mclaughlin",Juarezbury,China,Other,2020-08-10,2020,8,2020Q3,6,Legacy,http://www.goodwin.com/
56Df40b19e3c71f,Sarah Sweeney,lauren93@daniel-farley.com,daniel-farley.com,42339352171573,Madden-Ho,Mejiamouth,Equatorial Guinea,Other,2020-07-17,2020,7,2020Q3,6,Legacy,http://www.welch.com/
06CF1Fcd5863dF6,Eddie Salinas,franklinweiss@porter.net,porter.net,8092572517,Howard Group,North Frederick,Cook Islands,Other,2020-11-25,2020,11,2020Q4,6,Legacy,https://www.joyce.com/
5DcB42c2f8fBfb5,Trevor Rowland,simpsonraven@liu.com,liu.com,938501206513955,"Ritter, Fox and English",Deanchester,Nigeria,Other,2022-03-04,2022,3,2022Q1,4,Loyal,http://noble-beard.com/
E3F8a6D1033a2FE,Marcus Chang,deborah61@wagner.com,wagner.com,47902061442452,"Maynard, Lambert and Blake",North Monica,Western Sahara,Other,2021-05-20,2021,5,2021Q2,5,Loyal,http://shaw.com/
DA7b906C5aF71d5,Sabrina Roberts,brittneypotter@boyd-compton.com,boyd-compton.com,25264155817135,Stewart-Diaz,Port Pennyton,Bhutan,Other,2021-01-10,2021,1,2021Q1,5,Loyal,https://walter.com/
ccD94BbaEDBBf9E,Norman French,spearsfrank@mclean.com,mclean.com,3647577628522,Becker-Mata,South Emma,Marshall Islands,Other,2021-03-27,2021,3,2021Q1,5,Loyal,https://mccullough.info/
41C1B4D2C5b91B7,Lonnie Novak,manuel48@raymond.net,raymond.net,8103493016,Hayden Inc,East Malloryville,French Guiana,Other,2021-03-22,2021,3,2021Q1,5,Loyal,http://www.knight.com/
ee5235bbf2A66ef,Casey Bauer,marilynbender@daugherty.net,daugherty.net,001649360429170493,Houston-Woodard,New Brettfurt,Reunion,Other,2020-04-04,2020,4,2020Q2,6,Legacy,https://crawford.org/
2413aA72C4DEadF,David Goodman,ylutz@sawyer.com,sawyer.com,9769966527679,"Macdonald, Byrd and Williams",Juliantown,Nigeria,Other,2020-07-15,2020,7,2020Q3,6,Legacy,https://rhodes-ellison.org/
BA1F1A8E7fccb74,Garrett Rosario,christiegeorge@dominguez.com,dominguez.com,55429951957535,Becker-Terrell,Marissaland,Philippines,Other,2021-05-08,2021,5,2021Q2,5,Loyal,https://www.wright.com/
43EB011d4A5af36,Colin Vaughan,wilsonyvonne@mcmillan.com,mcmillan.com,1157721697,"Mooney, Reed and Ingram",New Shelleyfort,United States Virgin Islands,Other,2020-10-08,2020,10,2020Q4,6,Legacy,https://choi.com/
DDCCa6daDFBAFbc,Maxwell Griffin,priscillaharrell@glass.com,glass.com,542094106374771,Mcdowell-Adkins,North Kentland,Turkmenistan,Other,2020-10-01,2020,10,2020Q4,6,Legacy,http://ray.com/
024a3d8Df5abFE9,Diamond Barnett,gibbsemily@fisher.biz,fisher.biz,7131788679870,"Walker, Andersen and Reeves",New Patriciamouth,Trinidad and Tobago,Other,2022-01-04,2022,1,2022Q1,4,Loyal,https://mcdowell-compton.biz/
6367E110ccF7c2B,Kellie Munoz,lynnbooth@leach-lang.com,leach-lang.com,59737607777873,Flynn-Chapman,New Samantha,Greenland,Other,2021-07-08,2021,7,2021Q3,5,Loyal,http://www.mclaughlin.com/
6BdF3DBf9BcD353,Sandy Finley,hmora@brock.com,brock.com,4923018374,Shah-Hanna,Glasshaven,Kiribati,Other,2021-01-04,2021,1,2021Q1,5,Loyal,https://www.estrada.biz/
3e34e04B7F7b76d,Katelyn Petersen,santosebony@foley.com,foley.com,8887755334190,Solis-Hardin,South Patricia,Saint Vincent and the Grenadines,Other,2021-07-04,2021,7,2021Q3,5,Loyal,http://carr-holder.com/
ec3cD83Be620f62,Neil Murray,englishstefanie@braun.com,braun.com,9150494725373,Washington-Ramirez,East Stephanie,Afghanistan,Other,2022-03-20,2022,3,2022Q1,4,Loyal,http://ritter.com/
4DD0C3a8a2f3D8e,Carlos Wilcox,toddlove@rogers.info,rogers.info,439435750211237,"Vega, Yoder and Ayala",East Katelynmouth,Slovenia,Other,2021-10-11,2021,10,2021Q4,5,Loyal,https://little.info/
0EcdF5f157A10BE,Adrienne Lamb,butlerroberta@mullen-pittman.net,mullen-pittman.net,0125881523479,"Henderson, Vega and Jensen",South Karl,Gambia,Other,2021-05-03,2021,5,2021Q2,5,Loyal,http://www.mann.com/
61AD5B1099Db9d0,Traci Levy,camposherbert@lang.com,lang.com,184723732030302,"Simon, Flores and Carr",New Erica,Kiribati,Other,2022-02-19,2022,2,2022Q1,4,Loyal,http://www.burke-glover.com/
fD7FbF8BA88Fff8,Tammy Harmon,abigail05@mckee.info,mckee.info,1528220222819583,Kidd-Stone,Chaneychester,Yemen,Other,2020-09-01,2020,9,2020Q3,6,Legacy,https://www.walsh-archer.com/
2bcF27a9daa2EAA,Nicholas Arias,boonealex@cardenas.info,cardenas.info,1650979861497335,Yoder-Bowen,Lake Gavinburgh,Holy See (Vatican City State),Other,2020-01-31,2020,1,2020Q1,6,Legacy,http://www.wood.com/
12Bb4Ba2cB52B89,Sydney Solis,ortegashane@li.com,li.com,59122351425192,"Wu, Strong and Flynn",Welchburgh,Suriname,Other,2020-02-22,2020,2,2020Q1,6,Legacy,https://anderson-suarez.org/
eb8Abc5DB466797,Jody Beltran,fritzandres@morales.biz,morales.biz,1836853808615445,Buchanan-Barton,Kristihaven,Heard Island and McDonald Islands,Other,2020-08-14,2020,8,2020Q3,6,Legacy,https://www.martin.biz/
8799Bb0d0eF9F7b,Autumn Choi,varmstrong@braun.org,braun.org,37496190916048,Bates LLC,Port Scott,Uganda,Other,2020-12-07,2020,12,2020Q4,6,Legacy,http://www.fritz-galloway.com/
483E29cf4aC5A4D,Chelsey Boyer,jonathon78@werner.com,werner.com,0012909750712603,"Goodman, Carrillo and Stein",Selenaville,Morocco,Other,2022-04-17,2022,4,2022Q2,4,Loyal,https://www.willis-todd.net/
37E3234CC7F8da4,Trevor Key,bunderwood@owen.com,owen.com,8132636136,"Escobar, Adams and Huber",New Ryan,Palestinian Territory,Other,2022-01-03,2022,1,2022Q1,4,Loyal,http://webb-barnes.info/
2D0F54Cc8D96Ad0,Bridget Molina,jcochran@burgess-costa.com,burgess-costa.com,00106275704685881,Greene-Mays,East Brookebury,Chad,Other,2021-02-13,2021,2,2021Q1,5,Loyal,https://grimes.net/
CeDC6A5ED20dA29,Calvin Rocha,riveraisabel@harmon.net,harmon.net,0696981319,Werner-Key,Wayneborough,Cameroon,Other,2020-11-28,2020,11,2020Q4,6,Legacy,https://salinas-peck.com/
eE5F91Bf27BE6DC,Austin Matthews,stanleymeagan@gilmore-newton.com,gilmore-newton.com,1598879127972499,"Sandoval, Parker and Mcdowell",Aimeeville,Macedonia,Other,2021-07-30,2021,7,2021Q3,5,Loyal,https://hubbard.com/
aFbCcfBCbeff540,Molly Murphy,kathyhuff@white-liu.com,white-liu.com,928843349636630,Mercado PLC,Ericamouth,British Virgin Islands,Other,2021-12-01,2021,12,2021Q4,5,Loyal,http://cooley.com/
5fb7F35e6Db8e5a,Jeremy Haynes,lawsonmicheal@atkins.com,atkins.com,7489551267247,"Cruz, Roach and Lynch",Breannaton,Central African Republic,Other,2020-12-12,2020,12,2020Q4,6,Legacy,http://www.gibbs.com/
60d62d8Dbb23C3B,Don Henry,diamondhinton@mccormick.biz,mccormick.biz,00100428041583147,"Giles, Kerr and Stafford",Marcusburgh,China,Other,2020-10-18,2020,10,2020Q4,6,Legacy,https://arnold.com/
e9eFc5d60ddc3ec,Dakota Bowman,branchmegan@dougherty.com,dougherty.com,17071967497,Gomez-Tapia,West Barbarafurt,China,Other,2022-04-17,2022,4,2022Q2,4,Loyal,https://deleon-avery.com/
ad8F5957EdADB7e,Manuel Maynard,xingram@le.com,le.com,70864824981037,"Ellison, Berger and Osborn",Lake Calvin,Niger,Other,2020-02-28,2020,2,2020Q1,6,Legacy,https://richards-jarvis.com/
a3FdF7Ae5E60BaD,Howard Simmons,ronnie03@bird-hood.com,bird-hood.com,0012598175012,Winters-Cohen,Mitchellmouth,Romania,Other,2020-08-21,2020,8,2020Q3,6,Legacy,https://cordova.com/
eA4F6CB2ADEBF6d,Jeffery Wall,wanda50@webster.com,webster.com,31895245652143,Santos-Barnett,Jonathonhaven,Cambodia,Other,2022-02-18,2022,2,2022Q1,4,Loyal,http://www.dickerson.com/
feCfE5fCc4abeEd,Colleen Estes,tricia22@barrera.com,barrera.com,1982860649642,"Garrett, Sharp and Kaufman",Lake Alisonside,Greece,Other,2020-04-06,2020,4,2020Q2,6,Legacy,http://www.richmond.com/
774623BCD6f9BB8,Bianca Henry,alan83@olson.com,olson.com,194221929113796,Harrell-Johns,Garrettstad,Albania,Other,2020-04-13,2020,4,2020Q2,6,Legacy,http://www.wilcox-burns.biz/
Db752CCa4aCfd9E,Michelle Good,yeseniacallahan@hinton.com,hinton.com,2155674480,"Randall, Harding and Powers",New Johnnychester,Korea,Other,2020-12-21,2020,12,2020Q4,6,Legacy,http://chavez-clay.com/
7a0CFf01cCBcA01,Eileen Skinner,julian74@ritter-mccoy.info,ritter-mccoy.info,3105748489,Yang Ltd,New Kristophershire,Mexico,Other,2021-03-27,2021,3,2021Q1,5,Loyal,https://mays.com/
Be9d5701bDCd1aa,Kyle Richmond,adriennecarson@gallagher-mckinney.org,gallagher-mckinney.org,0010535655203,Hart Group,New Arielfurt,Dominican Republic,Other,2020-09-23,2020,9,2020Q3,6,Legacy,http://mcclure.com/
